CensusYear,County,Sex,Age Group,VALUE
2022,Cork City Council,Male,65 years and over,3068.0
2022,Cork City Council,Male,70 years and over,2191.0
2022,Cork City Council,Male,75 years and over,1390.0
2022,Cork City Council,Male,80 years and over,803.0
2022,Cork City Council,Male,85 years and over,372.0
2022,Cork City Council,Female,65 years and over,5352.0
2022,Cork City Council,Female,70 years and over,4300.0
2022,Cork City Council,Female,75 years and over,3152.0
2022,Cork City Council,Female,80 years and over,2005.0
2022,Cork City Council,Female,85 years and over,962.0
2011,Cork County,All,65 years and over,10978.0
2011,Cork County,All,70 years and over,8278.0
2011,Cork County,All,75 years and over,5851.0
2011,Cork County,All,80 years and over,3388.0
2011,Cork County,All,85 years and over,1499.0
2011,Cork County,Male,65 years and over,4076.0
2011,Cork County,Male,70 years and over,2838.0
2011,Cork County,Male,75 years and over,1839.0
2011,Cork County,Male,80 years and over,972.0
2011,Cork County,Male,85 years and over,397.0
2011,Cork County,Female,65 years and over,6902.0
2011,Cork County,Female,70 years and over,5440.0
2011,Cork County,Female,75 years and over,4012.0
2011,Cork County,Female,80 years and over,2416.0
2011,Cork County,Female,85 years and over,1102.0
2016,Cork County,All,65 years and over,12847.0
2016,Cork County,All,70 years and over,9568.0
2016,Cork County,All,75 years and over,6629.0
2016,Cork County,All,80 years and over,4059.0
2016,Cork County,All,85 years and over,1824.0
2016,Cork County,Male,65 years and over,4941.0
2016,Cork County,Male,70 years and over,3368.0
2016,Cork County,Male,75 years and over,2160.0
2016,Cork County,Male,80 years and over,1232.0
2016,Cork County,Male,85 years and over,492.0
2016,Cork County,Female,65 years and over,7906.0
2016,Cork County,Female,70 years and over,6200.0
2016,Cork County,Female,75 years and over,4469.0
2016,Cork County,Female,80 years and over,2827.0
2016,Cork County,Female,85 years and over,1332.0
2011,Donegal,All,65 years and over,5763.0
2011,Donegal,All,70 years and over,4409.0
2011,Donegal,All,75 years and over,3095.0
2011,Donegal,All,80 years and over,1899.0
2011,Donegal,All,85 years and over,905.0
2011,Donegal,Male,65 years and over,2340.0
2011,Donegal,Male,70 years and over,1663.0
2011,Donegal,Male,75 years and over,1076.0
2011,Donegal,Male,80 years and over,606.0
2011,Donegal,Male,85 years and over,273.0
2011,Donegal,Female,65 years and over,3423.0
2011,Donegal,Female,70 years and over,2746.0
2011,Donegal,Female,75 years and over,2019.0
2011,Donegal,Female,80 years and over,1293.0
2011,Donegal,Female,85 years and over,632.0
2016,Donegal,All,65 years and over,6576.0
2016,Donegal,All,70 years and over,4921.0
2016,Donegal,All,75 years and over,3439.0
2016,Donegal,All,80 years and over,2064.0
2016,Donegal,All,85 years and over,998.0
2016,Donegal,Male,65 years and over,2743.0
2016,Donegal,Male,70 years and over,1894.0
2016,Donegal,Male,75 years and over,1216.0
2016,Donegal,Male,80 years and over,652.0
2016,Donegal,Male,85 years and over,297.0
2016,Donegal,Female,65 years and over,3833.0
2016,Donegal,Female,70 years and over,3027.0
2016,Donegal,Female,75 years and over,2223.0
2016,Donegal,Female,80 years and over,1412.0
2016,Donegal,Female,85 years and over,701.0
2022,Donegal,All,65 years and over,7734.0
2022,Donegal,All,70 years and over,5954.0
2022,Donegal,All,75 years and over,4165.0
2022,Donegal,All,80 years and over,2536.0
2022,Donegal,All,85 years and over,1233.0
2022,Donegal,Male,65 years and over,3286.0
2022,Donegal,Male,70 years and over,2409.0
2022,Donegal,Male,75 years and over,1590.0
2022,Donegal,Male,80 years and over,877.0
2022,Donegal,Male,85 years and over,380.0
2022,Donegal,Female,65 years and over,4448.0
2022,Donegal,Female,70 years and over,3545.0
2022,Donegal,Female,75 years and over,2575.0
2022,Donegal,Female,80 years and over,1659.0
2022,Donegal,Female,85 years and over,853.0
2025,Donegal,All,65 years and over,8387.0
2025,Donegal,All,70 years and over,6549.0
2025,Donegal,All,75 years and over,4584.0
2025,Donegal,All,80 years and over,2811.0
2025,Donegal,All,85 years and over,1371.0
2025,Donegal,Male,65 years and over,3597.0
2025,Donegal,Male,70 years and over,2717.0
2025,Donegal,Male,75 years and over,1818.0
2025,Donegal,Male,80 years and over,1017.0
2025,Donegal,Male,85 years and over,430.0
2025,Donegal,Female,65 years and over,4792.0
2025,Donegal,Female,70 years and over,3836.0
2025,Donegal,Female,75 years and over,2771.0
2025,Donegal,Female,80 years and over,1798.0
2025,Donegal,Female,85 years and over,941.0
2011,Dublin City,All,65 years and over,19588.0
2011,Dublin City,All,70 years and over,15321.0
2011,Dublin City,All,75 years and over,11001.0
2011,Dublin City,All,80 years and over,6619.0
2011,Dublin City,All,85 years and over,2940.0
2011,Dublin City,Male,65 years and over,6215.0
2011,Dublin City,Male,70 years and over,4471.0
2011,Dublin City,Male,75 years and over,2919.0
2011,Dublin City,Male,80 years and over,1641.0
2011,Dublin City,Male,85 years and over,705.0
2011,Dublin City,Female,65 years and over,13373.0
2011,Dublin City,Female,70 years and over,10850.0
2011,Dublin City,Female,75 years and over,8082.0
2011,Dublin City,Female,80 years and over,4978.0
2011,Dublin City,Female,85 years and over,2235.0
2016,Dublin City,All,65 years and over,20687.0
2016,Dublin City,All,70 years and over,15907.0
2016,Dublin City,All,75 years and over,11646.0
2016,Dublin City,All,80 years and over,7393.0
2016,Dublin City,All,85 years and over,3566.0
2016,Dublin City,Male,65 years and over,7187.0
2016,Dublin City,Male,70 years and over,5015.0
2016,Dublin City,Male,75 years and over,3354.0
2016,Dublin City,Male,80 years and over,1940.0
2016,Dublin City,Male,85 years and over,883.0
2016,Dublin City,Female,65 years and over,13500.0
2016,Dublin City,Female,70 years and over,10892.0
2016,Dublin City,Female,75 years and over,8292.0
2016,Dublin City,Female,80 years and over,5453.0
2016,Dublin City,Female,85 years and over,2683.0
2022,Dublin City Council,All,65 years and over,22654.0
2022,Dublin City Council,All,70 years and over,17241.0
2022,Dublin City Council,All,75 years and over,12232.0
2022,Dublin City Council,All,80 years and over,7975.0
2022,Dublin City Council,All,85 years and over,4294.0
2022,Dublin City Council,Male,65 years and over,8390.0
2022,Dublin City Council,Male,70 years and over,5918.0
2022,Dublin City Council,Male,75 years and over,3829.0
2022,Dublin City Council,Male,80 years and over,2243.0
2022,Dublin City Council,Male,85 years and over,1105.0
2022,Dublin City Council,Female,65 years and over,14264.0
2022,Dublin City Council,Female,70 years and over,11323.0
2022,Dublin City Council,Female,75 years and over,8403.0
2022,Dublin City Council,Female,80 years and over,5732.0
2022,Dublin City Council,Female,85 years and over,3189.0
2022,Dún Laoghaire Rathdown,All,65 years and over,9734.0
2022,Dún Laoghaire Rathdown,All,70 years and over,7833.0
2022,Dún Laoghaire Rathdown,All,75 years and over,5858.0
2022,Dún Laoghaire Rathdown,All,80 years and over,3836.0
2022,Dún Laoghaire Rathdown,All,85 years and over,1980.0
2022,Dún Laoghaire Rathdown,Male,65 years and over,2821.0
2022,Dún Laoghaire Rathdown,Male,70 years and over,2180.0
2022,Dún Laoghaire Rathdown,Male,75 years and over,1562.0
2022,Dún Laoghaire Rathdown,Male,80 years and over,989.0
2022,Dún Laoghaire Rathdown,Male,85 years and over,483.0
2022,Dún Laoghaire Rathdown,Female,65 years and over,6913.0
2022,Dún Laoghaire Rathdown,Female,70 years and over,5653.0
2022,Dún Laoghaire Rathdown,Female,75 years and over,4296.0
2022,Dún Laoghaire Rathdown,Female,80 years and over,2847.0
2022,Dún Laoghaire Rathdown,Female,85 years and over,1497.0
2011,Dún Laoghaire-Rathdown,All,65 years and over,7167.0
2011,Dún Laoghaire-Rathdown,All,70 years and over,5647.0
2011,Dún Laoghaire-Rathdown,All,75 years and over,4082.0
2011,Dún Laoghaire-Rathdown,All,80 years and over,2534.0
2011,Dún Laoghaire-Rathdown,All,85 years and over,1125.0
2011,Dún Laoghaire-Rathdown,Male,65 years and over,1816.0
2011,Dún Laoghaire-Rathdown,Male,70 years and over,1361.0
2011,Dún Laoghaire-Rathdown,Male,75 years and over,904.0
2011,Dún Laoghaire-Rathdown,Male,80 years and over,542.0
2011,Dún Laoghaire-Rathdown,Male,85 years and over,238.0
2011,Dún Laoghaire-Rathdown,Female,65 years and over,5351.0
2011,Dún Laoghaire-Rathdown,Female,70 years and over,4286.0
2011,Dún Laoghaire-Rathdown,Female,75 years and over,3178.0
2011,Dún Laoghaire-Rathdown,Female,80 years and over,1992.0
2011,Dún Laoghaire-Rathdown,Female,85 years and over,887.0
2016,Dún Laoghaire-Rathdown,All,65 years and over,8273.0
2016,Dún Laoghaire-Rathdown,All,70 years and over,6529.0
2016,Dún Laoghaire-Rathdown,All,75 years and over,4798.0
2016,Dún Laoghaire-Rathdown,All,80 years and over,3022.0
2016,Dún Laoghaire-Rathdown,All,85 years and over,1490.0
2016,Dún Laoghaire-Rathdown,Male,65 years and over,2270.0
2016,Dún Laoghaire-Rathdown,Male,70 years and over,1718.0
2016,Dún Laoghaire-Rathdown,Male,75 years and over,1201.0
2016,Dún Laoghaire-Rathdown,Male,80 years and over,717.0
2016,Dún Laoghaire-Rathdown,Male,85 years and over,329.0
2016,Dún Laoghaire-Rathdown,Female,65 years and over,6003.0
2016,Dún Laoghaire-Rathdown,Female,70 years and over,4811.0
2016,Dún Laoghaire-Rathdown,Female,75 years and over,3597.0
2016,Dún Laoghaire-Rathdown,Female,80 years and over,2305.0
2016,Dún Laoghaire-Rathdown,Female,85 years and over,1161.0
2011,Fingal,All,65 years and over,4013.0
2011,Fingal,All,70 years and over,2873.0
2011,Fingal,All,75 years and over,1913.0
2011,Fingal,All,80 years and over,1071.0
2011,Fingal,All,85 years and over,452.0
2011,Fingal,Male,65 years and over,1255.0
2011,Fingal,Male,70 years and over,842.0
2011,Fingal,Male,75 years and over,512.0
2011,Fingal,Male,80 years and over,278.0
2011,Fingal,Male,85 years and over,111.0
2011,Fingal,Female,65 years and over,2758.0
2011,Fingal,Female,70 years and over,2031.0
2011,Fingal,Female,75 years and over,1401.0
2011,Fingal,Female,80 years and over,793.0
2011,Fingal,Female,85 years and over,341.0
2016,Fingal,All,65 years and over,5103.0
2016,Fingal,All,70 years and over,3697.0
2016,Fingal,All,75 years and over,2388.0
2016,Fingal,All,80 years and over,1390.0
2016,Fingal,All,85 years and over,627.0
2016,Fingal,Male,65 years and over,1620.0
2016,Fingal,Male,70 years and over,1118.0
2016,Fingal,Male,75 years and over,680.0
2016,Fingal,Male,80 years and over,367.0
2016,Fingal,Male,85 years and over,152.0
2016,Fingal,Female,65 years and over,3483.0
2016,Fingal,Female,70 years and over,2579.0
2016,Fingal,Female,75 years and over,1708.0
2016,Fingal,Female,80 years and over,1023.0
2016,Fingal,Female,85 years and over,475.0
2022,Fingal,All,65 years and over,6929.0
2022,Fingal,All,70 years and over,5252.0
2022,Fingal,All,75 years and over,3558.0
2022,Fingal,All,80 years and over,2036.0
2022,Fingal,All,85 years and over,912.0
2022,Fingal,Male,65 years and over,2273.0
2022,Fingal,Male,70 years and over,1683.0
2022,Fingal,Male,75 years and over,1105.0
2022,Fingal,Male,80 years and over,637.0
2022,Fingal,Male,85 years and over,269.0
2022,Fingal,Female,65 years and over,4656.0
2022,Fingal,Female,70 years and over,3569.0
2022,Fingal,Female,75 years and over,2453.0
2022,Fingal,Female,80 years and over,1399.0
2022,Fingal,Female,85 years and over,643.0
2025,Fingal,All,65 years and over,8074.0
2025,Fingal,All,70 years and over,6260.0
2025,Fingal,All,75 years and over,4343.0
2025,Fingal,All,80 years and over,2464.0
2025,Fingal,All,85 years and over,1100.0
2025,Fingal,Male,65 years and over,2692.0
2025,Fingal,Male,70 years and over,2065.0
2025,Fingal,Male,75 years and over,1409.0
2025,Fingal,Male,80 years and over,839.0
2025,Fingal,Male,85 years and over,358.0
2025,Fingal,Female,65 years and over,5383.0
2025,Fingal,Female,70 years and over,4198.0
2025,Fingal,Female,75 years and over,2940.0
2025,Fingal,Female,80 years and over,1636.0
2025,Fingal,Female,85 years and over,748.0
2022,Galway,All,65 years and over,7609.0
2022,Galway,All,70 years and over,5782.0
2022,Galway,All,75 years and over,4026.0
2022,Galway,All,80 years and over,2474.0
2022,Galway,All,85 years and over,1212.0
2022,Galway,Male,65 years and over,3319.0
2022,Galway,Male,70 years and over,2388.0
2022,Galway,Male,75 years and over,1539.0
2022,Galway,Male,80 years and over,895.0
2022,Galway,Male,85 years and over,387.0
2022,Galway,Female,65 years and over,4290.0
2022,Galway,Female,70 years and over,3394.0
2022,Galway,Female,75 years and over,2487.0
2022,Galway,Female,80 years and over,1579.0
2022,Galway,Female,85 years and over,825.0
2011,Galway City,All,65 years and over,1704.0
2011,Galway City,All,70 years and over,1244.0
2011,Galway City,All,75 years and over,839.0
2011,Galway City,All,80 years and over,502.0
2011,Galway City,All,85 years and over,214.0
2011,Galway City,Male,65 years and over,516.0
2011,Galway City,Male,70 years and over,360.0
2011,Galway City,Male,75 years and over,231.0
2011,Galway City,Male,80 years and over,131.0
2011,Galway City,Male,85 years and over,53.0
2011,Galway City,Female,65 years and over,1188.0
2011,Galway City,Female,70 years and over,884.0
2011,Galway City,Female,75 years and over,608.0
2011,Galway City,Female,80 years and over,371.0
2011,Galway City,Female,85 years and over,161.0
2016,Galway City,All,65 years and over,2095.0
2016,Galway City,All,70 years and over,1513.0
2016,Galway City,All,75 years and over,1019.0
2016,Galway City,All,80 years and over,616.0
2016,Galway City,All,85 years and over,292.0
2016,Galway City,Male,65 years and over,636.0
2016,Galway City,Male,70 years and over,414.0
2016,Galway City,Male,75 years and over,268.0
2016,Galway City,Male,80 years and over,158.0
2016,Galway City,Male,85 years and over,69.0
2016,Galway City,Female,65 years and over,1459.0
2016,Galway City,Female,70 years and over,1099.0
2016,Galway City,Female,75 years and over,751.0
2016,Galway City,Female,80 years and over,458.0
2016,Galway City,Female,85 years and over,223.0
2022,Galway City Council,All,65 years and over,2688.0
2022,Galway City Council,All,70 years and over,1969.0
2022,Galway City Council,All,75 years and over,1347.0
2022,Galway City Council,All,80 years and over,821.0
2022,Galway City Council,All,85 years and over,392.0
2022,Galway City Council,Male,65 years and over,847.0
2022,Galway City Council,Male,70 years and over,574.0
2022,Galway City Council,Male,75 years and over,348.0
2022,Galway City Council,Male,80 years and over,193.0
2022,Galway City Council,Male,85 years and over,93.0
2022,Galway City Council,Female,65 years and over,1841.0
2022,Galway City Council,Female,70 years and over,1395.0
2022,Galway City Council,Female,75 years and over,999.0
2022,Galway City Council,Female,80 years and over,628.0
2022,Galway City Council,Female,85 years and over,299.0
2011,Galway County,All,65 years and over,5476.0
2011,Galway County,All,70 years and over,4149.0
2011,Galway County,All,75 years and over,2920.0
2011,Galway County,All,80 years and over,1713.0
2011,Galway County,All,85 years and over,755.0
2011,Galway County,Male,65 years and over,2323.0
2011,Galway County,Male,70 years and over,1616.0
2011,Galway County,Male,75 years and over,1015.0
2011,Galway County,Male,80 years and over,517.0
2011,Galway County,Male,85 years and over,216.0
2011,Galway County,Female,65 years and over,3153.0
2011,Galway County,Female,70 years and over,2533.0
2011,Galway County,Female,75 years and over,1905.0
2011,Galway County,Female,80 years and over,1196.0
2011,Galway County,Female,85 years and over,539.0
2016,Galway County,All,65 years and over,6339.0
2016,Galway County,All,70 years and over,4751.0
2016,Galway County,All,75 years and over,3323.0
2016,Galway County,All,80 years and over,2022.0
2016,Galway County,All,85 years and over,962.0
2016,Galway County,Male,65 years and over,2793.0
2016,Galway County,Male,70 years and over,1917.0
2016,Galway County,Male,75 years and over,1234.0
2016,Galway County,Male,80 years and over,661.0
2016,Galway County,Male,85 years and over,273.0
2016,Galway County,Female,65 years and over,3546.0
2016,Galway County,Female,70 years and over,2834.0
2016,Galway County,Female,75 years and over,2089.0
2016,Galway County,Female,80 years and over,1361.0
2016,Galway County,Female,85 years and over,689.0
2011,Kerry,All,65 years and over,5276.0
2011,Kerry,All,70 years and over,3944.0
2011,Kerry,All,75 years and over,2784.0
2011,Kerry,All,80 years and over,1667.0
2011,Kerry,All,85 years and over,741.0
2011,Kerry,Male,65 years and over,2088.0
2011,Kerry,Male,70 years and over,1405.0
2011,Kerry,Male,75 years and over,883.0
2011,Kerry,Male,80 years and over,487.0
2011,Kerry,Male,85 years and over,197.0
2011,Kerry,Female,65 years and over,3188.0
2011,Kerry,Female,70 years and over,2539.0
2011,Kerry,Female,75 years and over,1901.0
2011,Kerry,Female,80 years and over,1180.0
2011,Kerry,Female,85 years and over,544.0
2016,Kerry,All,65 years and over,6191.0
2016,Kerry,All,70 years and over,4449.0
2016,Kerry,All,75 years and over,3049.0
2016,Kerry,All,80 years and over,1853.0
2016,Kerry,All,85 years and over,910.0
2016,Kerry,Male,65 years and over,2575.0
2016,Kerry,Male,70 years and over,1659.0
2016,Kerry,Male,75 years and over,1021.0
2016,Kerry,Male,80 years and over,559.0
2016,Kerry,Male,85 years and over,262.0
2016,Kerry,Female,65 years and over,3616.0
2016,Kerry,Female,70 years and over,2790.0
2016,Kerry,Female,75 years and over,2028.0
2016,Kerry,Female,80 years and over,1294.0
2016,Kerry,Female,85 years and over,648.0
2022,Kerry,All,65 years and over,7773.0
2022,Kerry,All,70 years and over,5817.0
2022,Kerry,All,75 years and over,3938.0
2022,Kerry,All,80 years and over,2307.0
2022,Kerry,All,85 years and over,1078.0
2022,Kerry,Male,65 years and over,3331.0
2022,Kerry,Male,70 years and over,2378.0
2022,Kerry,Male,75 years and over,1453.0
2022,Kerry,Male,80 years and over,738.0
2022,Kerry,Male,85 years and over,309.0
2022,Kerry,Female,65 years and over,4442.0
2022,Kerry,Female,70 years and over,3439.0
2022,Kerry,Female,75 years and over,2485.0
2022,Kerry,Female,80 years and over,1569.0
2022,Kerry,Female,85 years and over,769.0
2025,Kerry,All,65 years and over,8710.0
2025,Kerry,All,70 years and over,6651.0
2025,Kerry,All,75 years and over,4475.0
2025,Kerry,All,80 years and over,2574.0
2025,Kerry,All,85 years and over,1173.0
2025,Kerry,Male,65 years and over,3789.0
2025,Kerry,Male,70 years and over,2847.0
2025,Kerry,Male,75 years and over,1733.0
2025,Kerry,Male,80 years and over,848.0
2025,Kerry,Male,85 years and over,336.0
2025,Kerry,Female,65 years and over,4923.0
2025,Kerry,Female,70 years and over,3818.0
2025,Kerry,Female,75 years and over,2751.0
2025,Kerry,Female,80 years and over,1728.0
