C02199V02655,Sex,C03367V04052,County,TLIST(A1),CensusYear,C02076V03371,Age Group,STATISTIC,Statistic Label,UNIT,VALUE,C03789V04537,Administrative Counties
-,Both sexes,CW,Carlow,2016,2016,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,30.6,,
-,Both sexes,CW,Carlow,2016,2016,605,75 years and over,EY015C01,Persons in private households,Number,2677.0,,
-,Both sexes,CW,Carlow,2016,2016,605,75 years and over,EY015C02,Persons living alone,Number,934.0,,
-,Both sexes,CW,Carlow,2016,2016,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,34.9,,
-,Both sexes,CW,Carlow,2016,2016,620,80 years and over,EY015C01,Persons in private households,Number,1396.0,,
-,Both sexes,CW,Carlow,2016,2016,620,80 years and over,EY015C02,Persons living alone,Number,561.0,,
-,Both sexes,CW,Carlow,2016,2016,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,40.2,,
-,Both sexes,CW,Carlow,2016,2016,630,85 years and over,EY015C01,Persons in private households,Number,577.0,,
-,Both sexes,CW,Carlow,2016,2016,630,85 years and over,EY015C02,Persons living alone,Number,251.0,,
-,Both sexes,CW,Carlow,2016,2016,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,43.5,,
-,Both sexes,DC,Dublin City,2011,2011,-,All ages,EY015C01,Persons in private households,Number,499659.0,,
-,Both sexes,DC,Dublin City,2011,2011,-,All ages,EY015C02,Persons living alone,Number,63795.0,,
-,Both sexes,DC,Dublin City,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,12.8,,
-,Both sexes,DC,Dublin City,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,59573.0,,
-,Both sexes,DC,Dublin City,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,19588.0,,
-,Both sexes,DC,Dublin City,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,32.9,,
-,Both sexes,DC,Dublin City,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,42506.0,,
-,Both sexes,DC,Dublin City,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,15321.0,,
-,Both sexes,DC,Dublin City,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,36.0,,
-,Both sexes,DC,Dublin City,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,27280.0,,
-,Both sexes,DC,Dublin City,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,11001.0,,
-,Both sexes,DC,Dublin City,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,40.3,,
-,Both sexes,DC,Dublin City,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,14663.0,,
-,Both sexes,DC,Dublin City,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,6619.0,,
-,Both sexes,DC,Dublin City,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,45.1,,
-,Both sexes,DC,Dublin City,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,5912.0,,
-,Both sexes,DC,Dublin City,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,2940.0,,
-,Both sexes,DC,Dublin City,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,49.7,,
-,Both sexes,DC,Dublin City,2016,2016,-,All ages,EY015C01,Persons in private households,Number,525229.0,,
-,Both sexes,DC,Dublin City,2016,2016,-,All ages,EY015C02,Persons living alone,Number,60001.0,,
-,Both sexes,DC,Dublin City,2016,2016,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,11.4,,
-,Both sexes,DC,Dublin City,2016,2016,575,65 years and over,EY015C01,Persons in private households,Number,63858.0,,
-,Both sexes,DC,Dublin City,2016,2016,575,65 years and over,EY015C02,Persons living alone,Number,20687.0,,
-,Both sexes,DC,Dublin City,2016,2016,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,32.4,,
-,Both sexes,DC,Dublin City,2016,2016,590,70 years and over,EY015C01,Persons in private households,Number,44755.0,,
-,Both sexes,DC,Dublin City,2016,2016,590,70 years and over,EY015C02,Persons living alone,Number,15907.0,,
-,Both sexes,DC,Dublin City,2016,2016,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,35.5,,
-,Both sexes,DC,Dublin City,2016,2016,605,75 years and over,EY015C01,Persons in private households,Number,29463.0,,
-,Both sexes,DC,Dublin City,2016,2016,605,75 years and over,EY015C02,Persons living alone,Number,11646.0,,
-,Both sexes,DC,Dublin City,2016,2016,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,39.5,,
-,Both sexes,DC,Dublin City,2016,2016,620,80 years and over,EY015C01,Persons in private households,Number,16619.0,,
-,Both sexes,DC,Dublin City,2016,2016,620,80 years and over,EY015C02,Persons living alone,Number,7393.0,,
-,Both sexes,DC,Dublin City,2016,2016,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,44.5,,
-,Both sexes,DC,Dublin City,2016,2016,630,85 years and over,EY015C01,Persons in private households,Number,7148.0,,
-,Both sexes,DC,Dublin City,2016,2016,630,85 years and over,EY015C02,Persons living alone,Number,3566.0,,
-,Both sexes,DC,Dublin City,2016,2016,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,49.9,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,-,All ages,EY015C01,Persons in private households,Number,202594.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,-,All ages,EY015C02,Persons living alone,Number,17436.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,8.6,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,27838.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,7167.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,25.7,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,19045.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,5647.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,29.7,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,11768.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,4082.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,34.7,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,6162.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,2534.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,41.1,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,2481.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,1125.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,45.3,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,-,All ages,EY015C01,Persons in private households,Number,213468.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,-,All ages,EY015C02,Persons living alone,Number,17576.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,8.2,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,575,65 years and over,EY015C01,Persons in private households,Number,32304.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,575,65 years and over,EY015C02,Persons living alone,Number,8273.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,25.6,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,590,70 years and over,EY015C01,Persons in private households,Number,22755.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,590,70 years and over,EY015C02,Persons living alone,Number,6529.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,28.7,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,605,75 years and over,EY015C01,Persons in private households,Number,14395.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,605,75 years and over,EY015C02,Persons living alone,Number,4798.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,33.3,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,620,80 years and over,EY015C01,Persons in private households,Number,7799.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,620,80 years and over,EY015C02,Persons living alone,Number,3022.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,38.7,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,630,85 years and over,EY015C01,Persons in private households,Number,3312.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,630,85 years and over,EY015C02,Persons living alone,Number,1490.0,,
-,Both sexes,DR,Dún Laoghaire-Rathdown,2016,2016,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,45.0,,
-,Both sexes,FL,Fingal,2011,2011,-,All ages,EY015C01,Persons in private households,Number,271958.0,,
-,Both sexes,FL,Fingal,2011,2011,-,All ages,EY015C02,Persons living alone,Number,16000.0,,
-,Both sexes,FL,Fingal,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,5.9,,
-,Both sexes,FL,Fingal,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,18153.0,,
-,Both sexes,FL,Fingal,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,4013.0,,
-,Both sexes,FL,Fingal,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,22.1,,
-,Both sexes,FL,Fingal,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,10496.0,,
-,Both sexes,FL,Fingal,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,2873.0,,
-,Both sexes,FL,Fingal,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,27.4,,
-,Both sexes,FL,Fingal,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,5797.0,,
-,Both sexes,FL,Fingal,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,1913.0,,
-,Both sexes,FL,Fingal,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,33.0,,
-,Both sexes,FL,Fingal,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,2742.0,,
-,Both sexes,FL,Fingal,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,1071.0,,
-,Both sexes,FL,Fingal,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,39.1,,
-,Both sexes,FL,Fingal,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,1078.0,,
-,Both sexes,FL,Fingal,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,452.0,,
-,Both sexes,FL,Fingal,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,41.9,,
-,Both sexes,FL,Fingal,2016,2016,-,All ages,EY015C01,Persons in private households,Number,292989.0,,
-,Both sexes,FL,Fingal,2016,2016,-,All ages,EY015C02,Persons living alone,Number,15257.0,,
-,Both sexes,FL,Fingal,2016,2016,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,5.2,,
-,Both sexes,FL,Fingal,2016,2016,575,65 years and over,EY015C01,Persons in private households,Number,24824.0,,
-,Both sexes,FL,Fingal,2016,2016,575,65 years and over,EY015C02,Persons living alone,Number,5103.0,,
-,Both sexes,FL,Fingal,2016,2016,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,20.6,,
-,Both sexes,FL,Fingal,2016,2016,590,70 years and over,EY015C01,Persons in private households,Number,15042.0,,
-,Both sexes,FL,Fingal,2016,2016,590,70 years and over,EY015C02,Persons living alone,Number,3697.0,,
-,Both sexes,FL,Fingal,2016,2016,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,24.6,,
-,Both sexes,FL,Fingal,2016,2016,605,75 years and over,EY015C01,Persons in private households,Number,8032.0,,
-,Both sexes,FL,Fingal,2016,2016,605,75 years and over,EY015C02,Persons living alone,Number,2388.0,,
-,Both sexes,FL,Fingal,2016,2016,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,29.7,,
-,Both sexes,FL,Fingal,2016,2016,620,80 years and over,EY015C01,Persons in private households,Number,3888.0,,
-,Both sexes,FL,Fingal,2016,2016,620,80 years and over,EY015C02,Persons living alone,Number,1390.0,,
-,Both sexes,FL,Fingal,2016,2016,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,35.8,,
-,Both sexes,FL,Fingal,2016,2016,630,85 years and over,EY015C01,Persons in private households,Number,1458.0,,
-,Both sexes,FL,Fingal,2016,2016,630,85 years and over,EY015C02,Persons living alone,Number,627.0,,
-,Both sexes,FL,Fingal,2016,2016,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,43.0,,
-,Both sexes,SD,South Dublin,2011,2011,-,All ages,EY015C01,Persons in private households,Number,263723.0,,
-,Both sexes,SD,South Dublin,2011,2011,-,All ages,EY015C02,Persons living alone,Number,15576.0,,
-,Both sexes,SD,South Dublin,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,5.9,,
-,Both sexes,SD,South Dublin,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,21767.0,,
-,Both sexes,SD,South Dublin,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,4835.0,,
-,Both sexes,SD,South Dublin,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,22.2,,
-,Both sexes,SD,South Dublin,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,13487.0,,
-,Both sexes,SD,South Dublin,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,3570.0,,
-,Both sexes,SD,South Dublin,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,26.5,,
-,Both sexes,SD,South Dublin,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,7589.0,,
-,Both sexes,SD,South Dublin,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,2388.0,,
-,Both sexes,SD,South Dublin,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,31.5,,
-,Both sexes,SD,South Dublin,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,3633.0,,
-,Both sexes,SD,South Dublin,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,1361.0,,
-,Both sexes,SD,South Dublin,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,37.5,,
-,Both sexes,SD,South Dublin,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,1290.0,,
-,Both sexes,SD,South Dublin,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,570.0,,
-,Both sexes,SD,South Dublin,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,44.2,,
-,Both sexes,SD,South Dublin,2016,2016,-,All ages,EY015C01,Persons in private households,Number,277168.0,,
-,Both sexes,SD,South Dublin,2016,2016,-,All ages,EY015C02,Persons living alone,Number,15575.0,,
-,Both sexes,SD,South Dublin,2016,2016,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,5.6,,
-,Both sexes,SD,South Dublin,2016,2016,575,65 years and over,EY015C01,Persons in private households,Number,29416.0,,
-,Both sexes,SD,South Dublin,2016,2016,575,65 years and over,EY015C02,Persons living alone,Number,6208.0,,
-,Both sexes,SD,South Dublin,2016,2016,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,21.1,,
-,Both sexes,SD,South Dublin,2016,2016,590,70 years and over,EY015C01,Persons in private households,Number,17816.0,,
-,Both sexes,SD,South Dublin,2016,2016,590,70 years and over,EY015C02,Persons living alone,Number,4486.0,,
-,Both sexes,SD,South Dublin,2016,2016,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,25.2,,
-,Both sexes,SD,South Dublin,2016,2016,605,75 years and over,EY015C01,Persons in private households,Number,10190.0,,
-,Both sexes,SD,South Dublin,2016,2016,605,75 years and over,EY015C02,Persons living alone,Number,3106.0,,
-,Both sexes,SD,South Dublin,2016,2016,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,30.5,,
-,Both sexes,SD,South Dublin,2016,2016,620,80 years and over,EY015C01,Persons in private households,Number,5021.0,,
-,Both sexes,SD,South Dublin,2016,2016,620,80 years and over,EY015C02,Persons living alone,Number,1794.0,,
-,Both sexes,SD,South Dublin,2016,2016,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,35.7,,
-,Both sexes,SD,South Dublin,2016,2016,630,85 years and over,EY015C01,Persons in private households,Number,1966.0,,
-,Both sexes,SD,South Dublin,2016,2016,630,85 years and over,EY015C02,Persons living alone,Number,809.0,,
-,Both sexes,SD,South Dublin,2016,2016,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,41.1,,
-,Both sexes,KE,Kildare,2011,2011,-,All ages,EY015C01,Persons in private households,Number,208522.0,,
-,Both sexes,KE,Kildare,2011,2011,-,All ages,EY015C02,Persons living alone,Number,12586.0,,
-,Both sexes,KE,Kildare,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,6.0,,
-,Both sexes,KE,Kildare,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,15100.0,,
-,Both sexes,KE,Kildare,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,3636.0,,
-,Both sexes,KE,Kildare,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,24.1,,
-,Both sexes,KE,Kildare,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,8914.0,,
-,Both sexes,KE,Kildare,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,2593.0,,
-,Both sexes,KE,Kildare,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,29.1,,
-,Both sexes,KE,Kildare,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,5108.0,,
-,Both sexes,KE,Kildare,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,1737.0,,
-,Both sexes,KE,Kildare,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,34.0,,
-,Both sexes,KE,Kildare,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,2599.0,,
-,Both sexes,KE,Kildare,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,1019.0,,
-,Both sexes,KE,Kildare,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,39.2,,
-,Both sexes,KE,Kildare,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,1086.0,,
-,Both sexes,KE,Kildare,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,454.0,,
-,Both sexes,KE,Kildare,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,41.8,,
-,Both sexes,KE,Kildare,2016,2016,-,All ages,EY015C01,Persons in private households,Number,220923.0,,
-,Both sexes,KE,Kildare,2016,2016,-,All ages,EY015C02,Persons living alone,Number,12854.0,,
-,Both sexes,KE,Kildare,2016,2016,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,5.8,,
-,Both sexes,KE,Kildare,2016,2016,575,65 years and over,EY015C01,Persons in private households,Number,20370.0,,
-,Both sexes,KE,Kildare,2016,2016,575,65 years and over,EY015C02,Persons living alone,Number,4561.0,,
-,Both sexes,KE,Kildare,2016,2016,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,22.4,,
-,Both sexes,KE,Kildare,2016,2016,590,70 years and over,EY015C01,Persons in private households,Number,12201.0,,
-,Both sexes,KE,Kildare,2016,2016,590,70 years and over,EY015C02,Persons living alone,Number,3191.0,,
-,Both sexes,KE,Kildare,2016,2016,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,26.2,,
-,Both sexes,KE,Kildare,2016,2016,605,75 years and over,EY015C01,Persons in private households,Number,6552.0,,
-,Both sexes,KE,Kildare,2016,2016,605,75 years and over,EY015C02,Persons living alone,Number,2081.0,,
-,Both sexes,KE,Kildare,2016,2016,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,31.8,,
-,Both sexes,KE,Kildare,2016,2016,620,80 years and over,EY015C01,Persons in private households,Number,3230.0,,
-,Both sexes,KE,Kildare,2016,2016,620,80 years and over,EY015C02,Persons living alone,Number,1188.0,,
-,Both sexes,KE,Kildare,2016,2016,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,36.8,,
-,Both sexes,KE,Kildare,2016,2016,630,85 years and over,EY015C01,Persons in private households,Number,1304.0,,
-,Both sexes,KE,Kildare,2016,2016,630,85 years and over,EY015C02,Persons living alone,Number,512.0,,
-,Both sexes,KE,Kildare,2016,2016,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,39.3,,
-,Both sexes,KK,Kilkenny,2011,2011,-,All ages,EY015C01,Persons in private households,Number,94342.0,,
-,Both sexes,KK,Kilkenny,2011,2011,-,All ages,EY015C02,Persons living alone,Number,7318.0,,
-,Both sexes,KK,Kilkenny,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,7.8,,
-,Both sexes,KK,Kilkenny,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,10679.0,,
-,Both sexes,KK,Kilkenny,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,2745.0,,
-,Both sexes,KK,Kilkenny,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,25.7,,
-,Both sexes,KK,Kilkenny,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,6957.0,,
-,Both sexes,KK,Kilkenny,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,2081.0,,
-,Both sexes,KK,Kilkenny,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,29.9,,
-,Both sexes,KK,Kilkenny,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,4348.0,,
-,Both sexes,KK,Kilkenny,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,1470.0,,
-,Both sexes,KK,Kilkenny,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,33.8,,
-,Both sexes,KK,Kilkenny,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,2265.0,,
-,Both sexes,KK,Kilkenny,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,873.0,,
-,Both sexes,KK,Kilkenny,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,38.5,,
-,Both sexes,KK,Kilkenny,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,961.0,,
-,Both sexes,KK,Kilkenny,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,388.0,,
-,Both sexes,KK,Kilkenny,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,40.4,,
